playerName,rating,cost,avgFantasyPoints
DrSpectred,7.096240547410874,8.0,10.05
Bean,8.121827194614681,8.0,11.3
Vagabond,7.077044587000068,7.0,7.75
Feinberg,5.1808975530226276,7.0,9.15
Zaino,8.032835886002333,7.0,9.9
Edzy,5.950535473116836,6.0,6.55
BelenosBear,6.0056513724938005,6.0,7.0
Gothic,3.195814143834956,6.0,7.15
Fir,5.117169134881099,5.0,6.2
Rarran,5.055818029921561,5.0,8.0
Sizaak,5.921263937787024,5.0,6.3
Roffle,6.81871603288883,5.0,6.25
Nandre,2.948600454964651,4.0,4.05
Haelian,5.011536377389649,4.0,6.2
Seadubbs,3.954514802213379,4.0,6.4
Nemo,1.935229617447059,3.0,2.8
Malf,3.8570411636985886,3.0,2.5
Skootie,3.945597430880027,3.0,2.65
HCJustin,1.956846119535043,2.0,1.8
Neato,2.816820140896915,2.0,1.7
