playerName,rating,cost
Bean,8.02115702479339,8.0
Zaino,8.013812583122098,8.0
DrSpectred,7.046722329347049,7.0
Feinberg,5.008086632483096,7.0
Vagabond,6.988540511165231,7.0
Haelian,5.058181818181819,6.0
BelenosBear,6.058181818181819,6.0
Roffle,6.962975206611571,6.0
Sizaak,5.941818181818181,5.0
Fir,4.941818181818181,5.0
Rarran,5.031851794582542,5.0
Edzy,5.988540511165231,5.0
Seadubbs,4.011459488834769,4.0
Nandre,3.011459488834769,4.0
Skootie,3.968148205417459,4.0
Gothic,2.9919133675169043,3.0
Nemo,2.03702479338843,3.0
Malf,3.953277670652951,3.0
HCJustin,1.9861874168779012,2.0
Neato,2.9788429752066117,2.0
